Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7
-21.54115902108274,43.523243243243236,-30.569853883619583,-122.97658402203857,125.14469565217392,56.4125074449077,-27.48618139353829,-27.035591930136267,-0.21441266841343776,11.658108964416499,-9.130871718666697,8.643977547728783,-13.13793105044405,-21.35398230106231,24.965811965808484
-21.54115902108274,43.523243243243236,-30.569853883619583,-122.97658402203857,125.14469565217392,56.4125074449077,-27.48618139353829,-22.59580277663055,13.316727679917602,10.198360401216862,-12.451133519338272,5.9842916776243955,-14.389162577532858,-19.106194690442173,20.623931623928172
-21.54115902108274,43.523243243243236,-30.569853883619583,-122.97658402203857,125.14469565217392,56.4125074449077,-27.48618139353829,-26.79220224117427,-13.859925845974281,4.359415438157277,-19.091654317891,7.314134601450748,-10.635467996393183,-14.610619469204561,20.623931623928186
-21.54115902108274,43.523243243243236,-30.569853883619583,-122.97658402203857,125.14469565217392,56.4125074449077,-27.48618139353829,-24.69810568566619,-9.770673933262447,11.658404702017776,-30.712563052707754,-32.58115325703063,-18.142857158799277,-19.106194690441416,29.30769230768883
-21.54115902108274,43.523243243243236,-30.569853883619583,-122.97658402203857,125.14469565217392,56.4125074449077,-27.48618139353829,-27.9410189230595,-0.2735784155031,26.255890329018786,-14.111256852139926,-0.6649228517006671,-19.39408868571909,-19.10619469044028,27.136752136748655
-24.958682063777943,43.88936936936936,-30.179184824403997,-122.82108968472605,125.04162318840581,56.71506849315068,-27.634488127676093,-27.04819638420954,-0.2963475757991372,26.255397426632342,-14.11125685214078,-0.66492283373932,-19.3940886855501,-19.10619469043914,27.136752136748644
-24.958682063777943,43.88936936936936,-30.179184824403997,-122.82108968472605,125.04162318840581,56.71506849315068,-27.634488127676093,-26.06463566170512,-8.45148741967467,4.358676084575145,-19.091647030637873,-3.324608672411351,-20.645320212427666,-19.106194690438,24.965811965808477
-24.958682063777943,43.88936936936936,-30.179184824403997,-122.82108968472605,125.04162318840581,56.71506849315068,-27.634488127676093,-18.63224810876826,14.595128920670078,1.4394254185238982,-20.751775408463384,-5.98429450210271,-19.39408868516987,-21.353982301055098,24.965811965808474
-23.909206483737684,43.34018018018018,-30.200888661027086,-122.84052647689012,125.07107246376812,56.71506849315068,-27.683923705722066,-21.280637467262753,14.522102097105485,1.4397704541905334,-20.751773166232404,-5.9842944661800175,-19.39408868500088,-21.3539823010532,24.96581196580847
-23.909206483737684,43.34018018018018,-30.200888661027086,-122.84052647689012,125.07107246376812,56.71506849315068,-27.683923705722066,-24.118412961027566,-3.1710208770342176,5.81936117363054,-5.810600388513093,19.28272120775979,-8.133004941412873,-11.238938053269237,29.307692307688782
-23.909206483737684,43.34018018018018,-30.200888661027086,-122.84052647689012,125.07107246376812,56.71506849315068,-27.683923705722066,-29.365904095174564,-27.581523337722818,4.359809765227911,-27.392293964788813,-7.314137407967694,-20.6453202120897,-21.353982301052824,20.623931623928137
-23.02118868524208,43.614774774774766,-30.417927027257967,-122.97658402203857,125.07107246376812,56.8966051220965,-28.02997275204359,-25.666381615351465,-27.512371224173364,4.360056206432627,-27.392289480326003,-7.314137367554663,-20.645320211878463,-21.353982301050927,20.62393162392815
-23.02118868524208,43.614774774774766,-30.417927027257967,-122.97658402203857,125.07107246376812,56.8966051220965,-28.02997275204359,-11.32096410294332,41.682189250636355,-4.398188735725203,-27.392284995863946,-19.282723681991843,-14.38916257643444,-14.61061946919432,27.13675213674864
-23.02118868524208,43.614774774774766,-30.417927027257967,-122.97658402203857,125.07107246376812,56.8966051220965,-28.02997275204359,-23.41912834382801,22.542085395629208,-2.9378980012176523,-12.451109975913933,27.261778889918364,-9.384236468248215,-21.353982301049413,20.62393162392816
-23.828477592965356,46.452252252252244,-30.439630863881057,-123.03489439853075,124.99744927536234,57.01762954139372,-28.02997275204359,-25.3193779576199,22.441981008238237,-2.937405128810889,-12.451110536475648,27.261778813582676,-9.384236468417217,-21.353982301047523,20.623931623928176
-23.828477592965356,46.452252252252244,-30.439630863881057,-123.03489439853075,124.99744927536234,57.01762954139372,-28.02997275204359,-41.348140751031636,-48.138852103533715,18.959316183258196,-10.790981037538522,7.31413481249661,-15.64039410381901,-12.362831858572681,22.79487179486835
-23.828477592965356,46.452252252252244,-30.439630863881057,-123.03489439853075,124.99744927536234,57.01762954139372,-28.02997275204359,-19.599316885620905,-18.18174033309999,-11.695650134278758,-9.13085209915933,-12.633509121234425,-18.14285715786989,-22.477876106355893,33.649572649569144
-25.631422820214006,47.55063063063062,-29.962146458173116,-122.97658402203857,124.92382608695654,56.92686122692078,-27.585052549630177,-21.539877256269605,-18.144381942055226,-11.694861535954107,-9.130853780836723,-12.633509062860067,-18.142857157743155,-22.47787610635362,33.64957264956911
-25.631422820214006,47.55063063063062,-29.962146458173116,-122.97658402203857,124.92382608695654,56.92686122692078,-27.585052549630177,-29.175842706132062,-11.33006044674716,2.90341268103605,-35.69293641449376,1.9947632069978871,-24.399014792849208,-20.230088495733106,16.28205128204782
-25.631422820214006,47.55063063063062,-29.962146458173116,-122.97658402203857,124.92382608695654,56.92686122692078,-27.585052549630177,-31.157668496480454,-27.580510831861922,32.098679619298295,-12.451108294259686,11.303663714195395,-15.64039410318533,-24.725663716968064,18.452991452988012
-26.653988769996822,46.08612612612612,-29.72340425531915,-122.8988368533823,124.92382608695654,56.56378796902919,-26.942390035033043,-30.007850230917736,-27.511226977127635,32.09798949377529,-12.451108854821682,11.303663691743722,-15.640394103143093,-24.72566371696503,18.45299145298804
