Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor Mean,Sensor Variance,Gyro Mean,Gyro Variance,Orientation Mean,Orientation Variance,Label
-39.335207560713,35.56000000000001,-23.821007502679528,-120.42724555607991,123.17649692221599,-7.691549295774678,33.366245302357356,-11.906249999999995,40.23762376237625,7.696969696969701,17.378947368421056,-11.186528497409325,1.1545454545454592,2.953488372093018,-10.115044247787607,12.828674674950301,149.00082380836108,32.90540502113084,1562.6810951727086,59.93608435291981,2778.8364239930625,1
-39.335207560713,35.56000000000001,-23.821007502679528,-120.42724555607991,123.17649692221599,-7.691549295774678,33.366245302357356,-33.072916666666664,1.25742574257427,16.676767676767682,20.05263157894737,-4.6062176165803095,4.440892098500626e-15,2.953488372093018,-30.34513274336283,13.620572549624018,177.46128465648147,32.90540502113084,1562.6810951727086,59.93608435291981,2778.8364239930625,1
-39.335207560713,35.56000000000001,-23.821007502679528,-120.42724555607991,123.17649692221599,-7.691549295774678,33.366245302357356,-26.45833333333333,-18.86138613861385,6.414141414141418,22.726315789473684,-7.238341968911916,2.309090909090914,7.679069767441855,-30.34513274336283,15.253976508046225,112.78174625969382,32.90540502113084,1562.6810951727086,59.93608435291981,2778.8364239930625,1
-41.82689316903936,36.587415730337085,-23.56821313734497,-119.94777410728331,123.33284834918857,-8.809507042253529,33.756747523061165,-26.45833333333333,-18.86138613861385,6.414141414141418,22.726315789473684,-7.238341968911916,2.309090909090914,7.679069767441855,-30.34513274336283,15.253976508046225,112.78174625969382,33.99417401224047,1683.4804868554877,60.034467658321795,2734.5781262747237,1
-41.82689316903936,36.587415730337085,-23.56821313734497,-119.94777410728331,123.33284834918857,-8.809507042253529,33.756747523061165,-38.36458333333333,-33.95049504950494,-23.090909090909086,25.400000000000002,1.9740932642487063,3.4636363636363683,6.497674418604646,-19.106194690265482,18.98094827631282,191.9680772592626,33.99417401224047,1683.4804868554877,60.034467658321795,2734.5781262747237,1
-41.82689316903936,36.587415730337085,-23.56821313734497,-119.94777410728331,123.33284834918857,-8.809507042253529,33.756747523061165,-17.19791666666666,26.40594059405942,11.54545454545455,13.36842105263158,-4.6062176165803095,2.309090909090914,6.497674418604646,-16.858407079646014,12.348640360341761,62.58824173010049,33.99417401224047,1683.4804868554877,60.034467658321795,2734.5781262747237,1
-43.589304940782384,37.957303370786526,-23.27652733118971,-119.4882806355199,123.56026860660324,-10.195774647887333,34.147249743764974,-17.19791666666666,26.40594059405942,11.54545454545455,13.36842105263158,-4.6062176165803095,2.309090909090914,6.497674418604646,-16.858407079646014,12.348640360341761,62.58824173010049,34.941045214252874,1802.0067139625826,60.24070377916538,2686.587818793427,1
-43.589304940782384,37.957303370786526,-23.27652733118971,-119.4882806355199,123.56026860660324,-10.195774647887333,34.147249743764974,-7.937499999999995,26.40594059405942,37.20202020202021,18.71578947368421,-5.922279792746113,4.618181818181823,-0.5906976744186103,-10.115044247787607,13.938431725362248,157.05338586681768,34.941045214252874,1802.0067139625826,60.24070377916538,2686.587818793427,1
-43.589304940782384,37.957303370786526,-23.27652733118971,-119.4882806355199,123.56026860660324,-10.195774647887333,34.147249743764974,-38.36458333333333,-46.52475247524751,16.676767676767682,24.063157894736843,-5.922279792746113,5.772727272727277,6.497674418604646,-19.106194690265482,20.36601719430361,235.85871012389433,34.941045214252874,1802.0067139625826,60.24070377916538,2686.587818793427,1
-41.97882521832755,38.299775280898885,-22.809830041341293,-119.36841277332074,123.8729714605484,-11.671478873239437,34.36419542193374,-38.36458333333333,-46.52475247524751,16.676767676767682,24.063157894736843,-5.922279792746113,5.772727272727277,6.497674418604646,-19.106194690265482,20.36601719430361,235.85871012389433,34.362810180189236,1757.7479894749476,60.15933936518697,2689.270381268453,1
-41.97882521832755,38.299775280898885,-22.809830041341293,-119.36841277332074,123.8729714605484,-11.671478873239437,34.36419542193374,7.105427357601002e-15,-12.574257425742562,-10.26262626262626,22.726315789473684,-9.870466321243523,1.1545454545454592,7.679069767441855,-12.362831858407077,9.578764109935054,50.923415235104116,34.362810180189236,1757.7479894749476,60.15933936518697,2689.270381268453,1
-41.97882521832755,38.299775280898885,-22.809830041341293,-119.36841277332074,123.8729714605484,-11.671478873239437,34.36419542193374,-19.843749999999996,-6.287128712871274,8.979797979797983,25.400000000000002,-3.290155440414506,3.4636363636363683,12.404651162790692,-23.60176991150442,12.908861196376906,79.96148675454349,34.362810180189236,1757.7479894749476,60.15933936518697,2689.270381268453,1
-39.69984447900466,37.72898876404495,-22.148675547389374,-119.40836872738713,124.22831561275879,-12.878873239436643,34.147249743764974,-19.843749999999996,-6.287128712871274,8.979797979797983,25.400000000000002,-3.290155440414506,3.4636363636363683,12.404651162790692,-23.60176991150442,12.908861196376906,79.96148675454349,33.192502930146325,1648.1004052731494,59.76201101294049,2728.95253143207,1
-39.69984447900466,37.72898876404495,-22.148675547389374,-119.40836872738713,124.22831561275879,-12.878873239436643,34.147249743764974,-37.041666666666664,6.2871287128713,10.262626262626267,22.726315789473684,-5.922279792746113,3.4636363636363683,-5.316279069767447,-21.35398230088495,14.046739369834098,140.89406381867602,33.192502930146325,1648.1004052731494,59.76201101294049,2728.95253143207,1
