Gyro 0 Variance,Gyro 1 Variance,Gyro 2 Variance,Orientation 0 Variance,Orientation 1 Variance,Orientation 2 Variance,Orientation 3 Variance,Sensor 0 Variance,Sensor 1 Variance,Sensor 2 Variance,Sensor 3 Variance,Sensor 4 Variance,Sensor 5 Variance,Sensor 6 Variance,Sensor 7 Variance,Gyro 0 Mean,Gyro 1 Mean,Gyro 2 Mean,Orientation 0 Mean,Orientation 1 Mean,Orientation 2 Mean,Orientation 3 Mean,Sensor 0 Mean,Sensor 1 Mean,Sensor 2 Mean,Sensor 3 Mean,Sensor 4 Mean,Sensor 5 Mean,Sensor 6 Mean,Sensor 7 Mean,zcr 0,zcr 1,zcr 2,zcr 3,zcr 4,zcr 5,zcr 6,zcr 7,sch 0,sch 1,sch 2,sch 3,sch 4,sch 5,sch 6,sch 7,Label
1331.8388212162324,1225.2327713360405,1254.0328473597738,5151.9816479554165,3847.715516607321,3745.7306745227334,1435.1678697028146,379.00320353563825,707.8091039396593,1139.0886035957942,1359.0057617361247,2039.2516362493395,920.41852654023,1170.6690242599768,818.0837951408099,-28.108070997515078,-81.55363324708927,-64.0182888510316,-84.2342623963583,74.3567299808497,50.53254596397601,-1.995714285714368,-15.315533043868252,-0.02169498036190101,5.991659524695227,-2.405423606543971,1.235137707939463,-4.101020247420203,-0.3406588235340394,-0.34001593625215903,4.581818181818182,2.7808988764044944,3.1656050955414017,3.125786163522013,2.85632183908046,3.264900662251656,2.84,2.6105263157894742,2.6666666666666665,2.057851239669421,0.0,-0.00423728813559322,0.0,2.11965811965812,-0.004149377593360996,-0.0036231884057971015,1
1527.1497249212493,999.3861822566645,1468.8683662222393,6069.10588818497,3717.883747462276,6612.54828041826,4583.660886091022,603.1451222552728,878.3171858030955,1168.7575409831531,1066.3138260080625,1225.2540418918586,487.0226312350544,866.2178168650478,669.7939090216958,-20.474370207139714,-37.719600756859045,-43.698061578330346,-77.36031818181819,96.8931180776575,-69.81205942646551,95.00169258230859,29.48939253782752,-0.27424208207205136,20.24996048693648,10.254709161202094,2.2690676765899163,0.3844862646324848,-0.5099921568345307,3.0500566801629083,6.7391304347826075,2.862068965517241,4.504587155963303,8.163636363636364,2.6020942408376957,2.734806629834254,2.7709497206703912,2.9580838323353293,3.0,0.0,-0.0045045045045045045,2.946428571428572,0.0,2.0080645161290325,2.101694915254237,2.0080645161290325,1
1288.0840480128702,1299.0195445396973,1396.3414780372107,5460.447180612245,3579.0538431224945,6773.663140185239,3931.07838195496,521.6106238282177,801.9484139748206,1038.6004539831706,790.8181217414218,1221.314403850148,827.8154521758902,711.5929323318259,671.4287573276625,-38.30315637612711,-84.16104859335042,-45.39893781360997,85.24214309088211,-101.2908071400238,66.43205227924767,-97.1484939012948,-23.427426357765693,-0.6784200443345921,14.233979691900716,0.18919353726866608,0.996078566097625,-2.0957570836402475,-0.2868705883209507,-2.1149800796824407,5.787878787878787,2.9408284023668636,5.092783505154639,3.05625,2.7555555555555555,2.8448275862068964,3.0683229813664594,2.7865168539325844,3.0,0.0,-0.00966183574879227,2.101694915254237,-0.00398406374501992,-0.00796812749003984,2.1608695652173915,0.0,1
1449.134168965202,1196.7855256509386,1260.7668644545315,5339.223060131921,4022.225297331687,2899.3793541364616,2090.1851118923087,640.2885983054757,1042.1684556164792,1195.266585435267,1033.2131479176333,1967.904056911948,979.2959847971492,1053.0675033161476,605.976562349615,-33.493399380804966,-87.99077707006369,-73.86848792000497,-87.00837705977385,81.35598452150617,57.39743360752057,-9.634043847874807,2.4502829734324627,-8.036692683324354,-0.7398403993606827,0.09553952082496324,1.928408376860529,-0.061756863328370874,0.04781176473415735,0.02390588235536033,2.88953488372093,4.008196721311475,3.0304878048780486,2.8505747126436782,2.6775956284153004,2.6105263157894742,2.6956521739130435,2.952380952380953,0.0,-0.03669724770642202,0.0,1.930232558139535,-0.012,-0.003759398496240601,-0.008032128514056224,-0.004048582995951417,1
1390.3596311487802,1107.6148684361854,1412.2714808571307,5428.596954671346,3312.9602747826048,3755.4864069076475,2766.6643866272166,401.547845617512,931.3065427370096,1392.007634428114,1352.7166099631188,1755.7190744475022,945.2436490458624,1167.0058240003916,1108.5950830045238,-29.85301306841701,-57.24091931668857,-55.211596863901356,-89.2041673390633,87.66313331162488,37.2065986584684,88.04096980899567,-19.252501827940648,-2.9315739184942347,-9.316333856136943,-0.06579258377114848,1.051858117210691,7.112000004694465,-1.2240000000525688,3.7637155555471016,4.50909090909091,2.721311475409836,3.699248120300752,3.1265822784810124,2.9005847953216373,3.9915966386554618,2.929411764705882,3.3288590604026846,2.6793478260869565,2.0121457489878543,0.0,0.0,-0.008264462809917356,2.3317535545023698,2.0454545454545454,-0.007936507936507936,1
1822.5722051693008,1852.2523316682605,1715.39167399986,5852.856158541093,3951.8491822657575,6867.4344041814975,4548.551131321229,432.3483982081057,1042.542774317068,1215.3493521860235,1063.1756376005426,1295.9979829840759,859.2042115522017,755.6374233001619,759.3916318243864,-10.560980384307461,-68.49617471689393,-49.441215910638896,78.16838265813789,-96.12100810944222,64.65302202469134,-90.52860186029542,4.618863128266977,-0.6534755058400061,1.129260650731623,0.304759195447623,1.6913431208061966,11.789923414400988,3.2323548387217267,11.334478632480314,3.1730769230769242,2.7765363128491622,2.823863636363636,3.0,2.862068965517241,5.014084507042254,3.360544217687075,5.468354430379748,1.868421052631579,1.9840637450199203,0.0,2.057851239669421,2.049382716049383,-0.016483516483516484,-0.00423728813559322,2.5435897435897434,1
1432.4531715542014,1199.8110765507565,1444.2997529982056,4801.861946897765,5453.456642108998,3233.730747935941,5254.2788380199545,545.3776783884883,1110.7256128236554,1243.9077625194545,891.6572683404753,1848.4946255508967,961.7621096328328,1198.1607692347964,786.7932661121788,-17.766160982639136,-52.445633802816886,-48.4896982056545,-93.05603939541687,60.010752783964364,97.78753872026907,-86.29913436532513,10.314502885736903,-15.115765978101544,8.960447417451283,0.07566654057201368,1.6534903796676903,-0.5893679659169563,0.889501976217521,0.14542745097410012,4.936842105263158,4.392857142857143,3.6296296296296298,2.6847826086956523,2.5515463917525767,2.6382978723404253,2.9939393939393937,2.792134831460674,2.3443396226415096,-0.0046296296296296285,2.152173913043478,2.040983606557377,-0.007905138339920948,0.0,2.0840336134453783,-0.0038022813688212928,1
1428.4571908063485,1383.5392842934396,1506.5566484177655,4872.1249632020035,3531.9057102125184,5783.287242690758,3925.901640262185,428.89743748920097,626.1976560844238,1012.7097367170654,1146.9800586722033,1438.0112827678927,834.3508837107784,1187.04060449768,668.7165343505269,-30.52487865190946,-73.53746080483832,-41.483359375,-69.79807622601278,93.28206669798028,-54.14345452460145,91.3039177592372,-30.37133602249866,-9.86807576344916,-0.4760082993828352,1.4494060250213538,0.07371006098959093,-6.658353914236766,3.4023709677669043,-0.20320000000111416,7.275862068965517,4.283018867924528,3.264900662251656,2.9176470588235293,2.976047904191617,4.033613445378151,3.3288590604026846,2.523316062176166,3.061728395061728,2.404878048780488,-0.008583690987124462,-0.004201680672268907,0.0,-0.0047619047619047615,0.0,-0.007662835249042145,1
1460.5999829082114,1333.2406730168545,1015.5252930215075,5516.7091426014895,3637.180664707921,4605.462545523022,2589.468022530612,507.7987499104975,829.3060240529248,1562.5888478998902,857.0562858477832,1387.6531872469063,1061.5081704659424,1129.4079938094487,797.5358839999648,-31.04876400786852,-53.22252318259874,-75.87308654670093,-83.51084339488636,92.1805193953223,12.06386171574904,75.88057142857143,3.170680844506688,2.2804472101368605,23.66290150245718,-2.2343754153786284,2.0618836928583524,0.6354980350731375,-0.2808941176769099,-0.046000000005455566,2.862068965517241,2.677419354838709,4.4774774774774775,2.9879518072289155,2.8457142857142856,2.6436170212765955,2.963855421686747,2.515151515151515,-0.003584229390681004,-0.004,2.269406392694064,0.0,0.0,1.9761904761904765,2.0326530612244897,-0.003690036900369004,1
2079.691147661245,1235.0063591157955,1949.114581253543,6690.417229832591,5207.2459048012815,3798.400625527928,6125.332625807041,480.31705590789636,763.5768544239622,932.1704382475816,1047.3563947539246,1597.9180366913904,765.071492389046,1104.0639659196622,689.1680604923991,-17.135232474901787,-45.25444652406416,-56.805591302022975,-66.8737016419352,68.51732298455005,80.18019005719313,-36.50222546419103,-13.670130832019167,-13.897333017058218,-9.47148952432332,12.222499587827865,1.527983984338254,0.4064000044561328,-0.25101176461424435,6.461843621398336,4.820224719101123,5.689655172413793,3.8139534883720936,5.370786516853934,2.957575757575757,2.929411764705882,3.2847682119205297,5.5443037974683556,-0.013953488372093023,0.0,0.0,2.4824120603015074,2.0368852459016398,0.0,-0.013157894736842105,-0.005263157894736842,1
