,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
185,44,98,234,46,63,59,66,37,-16,27,8,8304,2836,-11645,-7473
186,44,98,234,46,63,59,66,37,-2,35,7,8307,2840,-11642,-7472
187,47,109,259,62,70,58,64,35,-2,35,7,8307,2840,-11642,-7472
188,47,109,259,62,70,58,64,35,-10,32,11,8309,2842,-11641,-7471
189,46,103,268,64,59,51,49,35,-10,32,11,8309,2842,-11641,-7471
190,46,103,268,64,59,51,49,35,-6,38,2,8312,2846,-11639,-7469
191,46,96,264,75,57,55,47,35,-6,38,2,8312,2846,-11639,-7469
192,46,96,264,75,57,55,47,35,-2,38,3,8315,2850,-11637,-7468
193,50,96,232,72,54,48,54,33,-2,38,3,8315,2850,-11637,-7468
194,50,96,232,72,54,48,54,33,11,37,-9,8318,2856,-11635,-7465
195,49,94,237,74,57,46,57,34,11,37,-9,8318,2856,-11635,-7465
196,49,94,237,74,57,46,57,34,8,42,-11,8320,2863,-11632,-7464
197,49,86,255,69,50,57,64,38,8,42,-11,8320,2863,-11632,-7464
198,49,86,255,69,50,57,64,38,5,44,-7,8323,2870,-11629,-7463
199,48,98,243,68,53,59,65,40,5,44,-7,8323,2870,-11629,-7463
200,48,98,243,68,53,59,65,40,-9,50,-7,8326,2877,-11625,-7464
201,50,104,233,61,54,56,65,44,-9,50,-7,8326,2877,-11625,-7464
202,50,104,233,61,54,56,65,44,-3,48,-6,8330,2883,-11620,-7464
203,47,104,234,75,53,69,64,46,-3,48,-6,8330,2883,-11620,-7464
204,47,104,234,75,53,69,64,46,3,50,-5,8333,2890,-11617,-7463
205,48,109,245,79,53,73,103,48,3,50,-5,8333,2890,-11617,-7463
206,48,109,245,79,53,73,103,48,0,45,-6,8337,2897,-11612,-7463
207,44,104,214,76,52,66,108,44,0,45,-6,8337,2897,-11612,-7463
208,44,104,214,76,52,66,108,44,6,49,-5,8340,2905,-11609,-7462
209,44,98,211,77,57,78,108,40,6,49,-5,8340,2905,-11609,-7462
210,44,98,211,77,57,78,108,40,0,50,-11,8343,2912,-11604,-7463
211,43,96,198,77,65,79,108,38,0,50,-11,8343,2912,-11604,-7463
212,43,96,198,77,65,79,108,38,-5,48,-17,8347,2919,-11598,-7465
213,46,89,224,66,62,75,121,37,-5,48,-17,8347,2919,-11598,-7465
214,46,89,224,66,62,75,121,37,7,40,-11,8350,2926,-11595,-7464
215,46,81,231,61,59,72,93,32,7,40,-11,8350,2926,-11595,-7464
216,46,81,231,61,59,72,93,32,22,38,-13,8351,2936,-11593,-7463
217,47,89,217,58,60,78,85,33,22,38,-13,8351,2936,-11593,-7463
218,47,89,217,58,60,78,85,33,-5,34,-11,8352,2942,-11590,-7464
219,44,92,248,63,54,67,87,33,-5,34,-11,8352,2942,-11590,-7464
220,44,92,248,63,54,67,87,33,-2,32,-10,8353,2948,-11588,-7464
221,43,89,247,58,50,68,90,33,-2,32,-10,8353,2948,-11588,-7464
222,43,89,247,58,50,68,90,33,-1,27,-6,8354,2952,-11586,-7464
223,36,94,233,52,58,63,77,31,-1,27,-6,8354,2952,-11586,-7464
224,36,94,233,52,58,63,77,31,10,21,-9,8353,2958,-11585,-7464
225,40,95,249,55,56,62,73,30,10,21,-9,8353,2958,-11585,-7464
226,40,95,249,55,56,62,73,30,7,11,-3,8352,2959,-11585,-7464
227,43,101,245,53,58,73,96,40,7,11,-3,8352,2959,-11585,-7464
228,43,101,245,53,58,73,96,40,0,9,-3,8352,2959,-11585,-7464
229,45,96,235,47,57,77,100,41,0,9,-3,8352,2959,-11585,-7464
230,45,96,235,47,57,77,100,41,4,15,-4,8352,2960,-11585,-7464
231,47,97,244,51,59,82,109,41,4,15,-4,8352,2960,-11585,-7464
232,47,97,244,51,59,82,109,41,12,14,-2,8351,2960,-11586,-7464
233,52,100,245,54,49,77,102,39,12,14,-2,8351,2960,-11586,-7464
234,52,100,245,54,49,77,102,39,20,13,4,8349,2965,-11588,-7460
235,52,108,221,53,57,85,122,40,20,13,4,8349,2965,-11588,-7460
236,52,108,221,53,57,85,122,40,11,5,11,8348,2966,-11588,-7461
237,53,109,248,57,53,79,119,29,11,5,11,8348,2966,-11588,-7461
238,53,109,248,57,53,79,119,29,16,1,13,8347,2968,-11590,-7459
239,52,119,262,61,53,77,117,26,16,1,13,8347,2968,-11590,-7459
240,52,119,262,61,53,77,117,26,3,4,14,8347,2969,-11590,-7459
241,62,140,252,61,51,83,110,30,3,4,14,8347,2969,-11590,-7459
242,62,140,252,61,51,83,110,30,4,2,14,8346,2969,-11590,-7459
243,59,134,283,68,58,91,119,31,4,2,14,8346,2969,-11590,-7459
244,59,134,283,68,58,91,119,31,2,-6,10,8346,2969,-11590,-7459
245,60,137,281,68,50,83,97,32,2,-6,10,8346,2969,-11590,-7459
246,60,137,281,68,50,83,97,32,-7,-10,-6,8346,2970,-11590,-7460
247,60,131,254,63,51,83,95,36,-7,-10,-6,8346,2970,-11590,-7460
248,60,131,254,63,51,83,95,36,-15,-30,-32,8342,2971,-11585,-7471
249,65,129,220,59,54,84,101,44,-15,-30,-32,8342,2971,-11585,-7471
250,65,129,220,59,54,84,101,44,2,-43,-57,8334,2977,-11581,-7484
251,72,110,230,57,53,74,105,52,2,-43,-57,8334,2977,-11581,-7484
252,72,110,230,57,53,74,105,52,39,-30,-71,8323,2992,-11578,-7495
253,74,116,168,53,44,81,101,58,39,-30,-71,8323,2992,-11578,-7495
254,74,116,168,53,44,81,101,58,-8,-17,-54,8316,3000,-11573,-7507
255,69,104,145,51,46,84,106,58,-8,-17,-54,8316,3000,-11573,-7507
256,69,104,145,51,46,84,106,58,-61,-9,-28,8317,2999,-11561,-7525
257,84,102,149,53,65,84,130,71,-61,-9,-28,8317,2999,-11561,-7525
258,84,102,149,53,65,84,130,71,-60,-13,-21,8320,2996,-11547,-7544
259,90,103,166,58,72,98,128,70,-60,-13,-21,8320,2996,-11547,-7544
260,90,103,166,58,72,98,128,70,-72,-23,-39,8324,2994,-11527,-7571
261,81,98,151,70,74,120,130,65,-72,-23,-39,8324,2994,-11527,-7571
262,81,98,151,70,74,120,130,65,-113,29,-102,8331,3004,-11492,-7613
263,103,128,185,95,91,127,150,83,-113,29,-102,8331,3004,-11492,-7613
264,103,128,185,95,91,127,150,83,-182,80,-184,8334,3026,-11444,-7672
265,114,136,222,102,101,139,175,91,-182,80,-184,8334,3026,-11444,-7672
266,114,136,222,102,101,139,175,91,-246,128,-325,8335,3060,-11385,-7744
267,105,147,236,104,105,137,164,86,-246,128,-325,8335,3060,-11385,-7744
