,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
369,28,27,62,60,24,41,68,43,-14,-36,-6,-4251,7745,2610,13548
370,28,27,57,57,23,38,72,42,-14,-36,-6,-4251,7745,2610,13548
371,28,27,57,57,23,38,72,42,-27,-20,4,-4249,7749,2607,13547
372,28,29,48,50,24,39,71,42,-27,-20,4,-4249,7749,2607,13547
373,28,29,48,50,24,39,71,42,-22,-17,9,-4248,7754,2604,13545
374,27,29,59,99,25,36,70,42,-22,-17,9,-4248,7754,2604,13545
375,27,29,59,99,25,36,70,42,-21,4,11,-4248,7754,2600,13546
376,31,29,64,98,25,37,70,46,-21,4,11,-4248,7754,2600,13546
377,31,29,64,98,25,37,70,46,8,3,-14,-4247,7755,2601,13545
378,30,31,66,99,27,37,72,44,8,3,-14,-4247,7755,2601,13545
379,30,31,66,99,27,37,72,44,2,-1,-7,-4247,7754,2601,13546
380,31,31,65,101,25,37,67,45,2,-1,-7,-4247,7754,2601,13546
381,31,31,65,101,25,37,67,45,-30,-6,0,-4244,7758,2597,13545
382,31,31,69,102,24,38,63,45,-30,-6,0,-4244,7758,2597,13545
383,31,31,69,102,24,38,63,45,-40,-4,1,-4242,7760,2591,13546
384,31,28,55,50,25,38,64,43,-40,-4,1,-4242,7760,2591,13546
385,31,28,55,50,25,38,64,43,-23,-6,11,-4242,7763,2586,13545
386,35,34,53,46,24,37,64,39,-23,-6,11,-4242,7763,2586,13545
387,35,34,53,46,24,37,64,39,-6,-5,-6,-4242,7763,2586,13545
388,35,30,52,41,24,34,62,37,-6,-5,-6,-4242,7763,2586,13545
389,35,30,52,41,24,34,62,37,-12,-5,-3,-4242,7763,2586,13545
390,37,29,50,38,25,36,62,39,-12,-5,-3,-4242,7763,2586,13545
391,37,29,50,38,25,36,62,39,-5,-10,-18,-4239,7766,2587,13544
392,38,35,53,38,32,38,65,37,-5,-10,-18,-4239,7766,2587,13544
393,38,35,53,38,32,38,65,37,20,2,-17,-4238,7766,2591,13544
394,43,37,53,38,31,38,67,42,20,2,-17,-4238,7766,2591,13544
395,43,37,53,38,31,38,67,42,26,9,-7,-4240,7763,2595,13544
396,38,33,50,40,31,39,68,45,26,9,-7,-4240,7763,2595,13544
397,38,33,50,40,31,39,68,45,10,6,-10,-4239,7763,2596,13544
398,38,33,44,41,30,42,69,45,10,6,-10,-4239,7763,2596,13544
399,38,33,44,41,30,42,69,45,0,8,-6,-4239,7763,2596,13544
